District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
Khammam,2003,28.771666666666672,25.32625,26.733000000000004,30.29275,30.875204861111115,25.27775
Khammam,2004,27.970333333333333,24.9775,26.023,29.22725,30.8328504050926,26.0205
Khammam,2005,27.985666666666663,24.9675,26.09525,28.817,30.424154200424383,25.0595
Khammam,2006,28.00366666666667,25.39375,26.52325,28.9275,30.436596183368703,25.88925
Khammam,2007,28.341,24.91475,26.05175,29.1245,30.688883015280723,25.9125
Khammam,2008,28.105,24.542,26.0665,29.72625,30.662323584606728,24.94725
Khammam,2009,28.701,24.805,26.05875,30.00875,30.75219363205056,25.07175
Khammam,2010,28.166,24.64075,25.8415,29.10725,30.589516136004217,25.437
Khammam,2011,28.561000000000003,24.8455,26.47425,30.0295,30.587209678000345,25.108
Khammam,2012,28.25066666666667,25.13175,26.17375,29.6685,30.86410080650003,25.622
Khammam,2013,28.708,25.847,27.31875,30.28325,31.102758400541664,25.7025
Khammam,2014,28.681,25.63675,26.49825,30.3085,31.536563200045148,26.244750000000003
Khammam,2015,28.23966666666667,24.905,26.23225,29.298,30.81529693333709,25.5835
Khammam,2016,28.56733333333333,25.55025,26.633250000000004,28.90225,30.808191411111423,25.7215
Khammam,2017,28.54233333333333,25.5495,26.87725,29.469,31.022432617592614,25.96375
Khammam,2018,28.531333333333333,25.2965,26.6,29.64075,31.130702718132707,25.97925
Kheda,2001,28.295666666666666,23.74125,26.14875,29.8865,27.483833333333337,23.133
Kheda,2002,28.80633333333333,24.28,26.3895,29.64325,29.864319444444444,22.991
Kheda,2003,30.819,25.485,27.9085,31.53625,31.209193287037035,23.92925
Kheda,2004,29.036666666666665,24.58575,26.422,30.21375,30.76484944058642,24.206000000000003
Kheda,2005,28.76033333333333,24.2875,26.6965,29.52725,30.0197374533822,22.718
Kheda,2006,28.179666666666662,24.61925,26.03425,29.39,29.97564478778185,23.3595
Kheda,2007,28.31833333333333,23.6375,25.89575,30.00875,29.982220398981823,22.84225
Kheda,2008,28.199666666666666,24.12625,25.90925,30.0585,29.82385169991516,22.71325
Kheda,2009,29.48633333333333,25.040000000000003,26.99075,30.44275,30.58790430832626,23.59975
Kheda,2010,28.57033333333333,24.20875,25.85775,29.282000000000004,30.002575359027187,23.48225
Kheda,2011,29.697666666666663,24.3445,26.836,30.877,30.3775479465856,22.7865
Kheda,2012,28.21933333333333,24.042250000000003,25.845,29.784750000000003,30.3073789955488,24.05525
Kheda,2013,28.343333333333334,24.066750000000003,26.23025,29.55375,29.72886491629573,22.868
Kheda,2014,29.625333333333334,24.31725,26.371500000000005,30.27225,30.329572076357977,22.7045
Kheda,2015,28.64333333333333,23.49175,25.90975,29.72475,29.91738100636316,23.02975
Kheda,2016,29.50566666666667,24.9165,26.95975,30.0275,30.20919841719693,22.885
Kheda,2017,29.355666666666668,24.3925,26.83575,29.178,29.92026653476641,23.13
Kheda,2018,29.037000000000003,24.65125,26.87675,29.8665,30.3836888778972,23.294000000000004
Kheri,2001,27.70833333333333,19.55325,23.10775,30.1515,25.51775,18.95575
Kheri,2002,27.936333333333334,19.541,22.90925,30.21325,27.1240625,18.07125
Kheri,2003,28.95,20.0895,23.70525,31.463,28.152671875000006,18.81775
Kheri,2004,28.386,20.2445,23.5425,30.3645,28.110889322916663,18.92475
Kheri,2005,27.627333333333336,19.2165,22.97325,29.55225,27.211907443576383,17.73075
Kheri,2006,28.102666666666664,20.45625,23.20475,30.4375,27.70007562029804,18.63175
